age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
90,Private,7th-8th,1,Widowed,Tech-support,Not-in-family,White,Female,17500,108,89,Guatemala,0
90,Private,7th-8th,1,Widowed,Tech-support,Not-in-family,White,Male,17500,108,89,Guatemala,1
90,Private,7th-8th,1,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,17500,108,89,Guatemala,0
90,Private,7th-8th,1,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,17500,108,89,Guatemala,1
91,Self-emp-not-inc,12th,2,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,17500,326,91,Scotland,0
91,Self-emp-not-inc,12th,2,Divorced,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,17500,326,91,Scotland,1
87,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Unmarried,Black,Female,17500,980,98,Hong,0
87,State-gov,5th-6th,3,Married-AF-spouse,Prof-specialty,Unmarried,Black,Male,17500,980,98,Hong,1
79,Private,7th-8th,1,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,17500,108,89,El-Salvador,0
79,Private,7th-8th,1,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,17500,108,89,El-Salvador,1
90,Private,Bachelors,1,Widowed,Tech-support,Not-in-family,White,Female,17500,108,89,Guatemala,0
90,Private,Bachelors,1,Widowed,Tech-support,Not-in-family,White,Male,17500,108,89,Guatemala,1
91,Self-emp-not-inc,Some-college,1,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,17500,326,91,Scotland,1
91,Self-emp-not-inc,Some-college,1,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,17500,326,91,Scotland,0
90,Self-emp-not-inc,12th,1,Widowed,Craft-repair,Not-in-family,White,Female,17500,326,77,Nicaragua,0
90,Self-emp-not-inc,12th,1,Widowed,Craft-repair,Not-in-family,White,Male,17500,326,77,Nicaragua,1
91,Self-emp-not-inc,12th,2,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,17500,544,78,Scotland,0
91,Self-emp-not-inc,12th,2,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,17500,544,78,Scotland,1
90,Self-emp-not-inc,12th,1,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,17500,1197,77,Nicaragua,1
90,Self-emp-not-inc,12th,1,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,17500,1197,77,Nicaragua,0
79,Self-emp-not-inc,12th,1,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,17500,108,77,Nicaragua,0
79,Self-emp-not-inc,12th,1,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,17500,108,77,Nicaragua,1
91,Self-emp-not-inc,Some-college,1,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,17500,326,83,Scotland,0
91,Self-emp-not-inc,Some-college,1,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,17500,326,83,Scotland,1
91,Self-emp-not-inc,Some-college,2,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,17500,544,78,Scotland,1
91,Self-emp-not-inc,Some-college,2,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Male,17500,544,78,Scotland,0
79,Private,Bachelors,1,Widowed,Machine-op-inspct,Not-in-family,White,Female,17500,108,76,Guatemala,0
79,Private,Bachelors,1,Widowed,Machine-op-inspct,Not-in-family,White,Male,17500,108,76,Guatemala,1
79,Private,Bachelors,1,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,17500,108,83,Guatemala,1
79,Private,Bachelors,1,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,17500,108,83,Guatemala,0
90,Private,7th-8th,1,Married-civ-spouse,Tech-support,Not-in-family,White,Female,17500,108,89,Portugal,0
90,Private,7th-8th,1,Married-civ-spouse,Tech-support,Not-in-family,White,Male,17500,108,89,Portugal,1
84,Federal-gov,10th,2,Married-spouse-absent,Transport-moving,Other-relative,Amer-Indian-Eskimo,Female,17500,544,94,Ecuador,1
84,Federal-gov,10th,2,Married-spouse-absent,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,17500,544,94,Ecuador,0
84,Federal-gov,10th,2,Married-spouse-absent,Sales,Other-relative,Amer-Indian-Eskimo,Female,17500,544,94,Ecuador,1
