job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,decision
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4923,45,274,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4923,45,274,0,failure,1,1
housemaid,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4930,45,266,0,failure,0,0
housemaid,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4930,45,266,0,failure,1,1
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4946,45,268,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4946,45,268,2,nonexistent,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,45,274,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,45,274,0,failure,1,1
housemaid,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,45,266,0,failure,0,0
housemaid,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,45,266,0,failure,1,1
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4946,45,268,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4946,45,268,2,nonexistent,1,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4875,45,252,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4875,45,252,1,failure,1,1
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,45,251,0,failure,0,0
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4860,45,251,0,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4875,45,252,1,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4875,45,252,1,failure,1,1
housemaid,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4938,39,267,1,failure,0,1
housemaid,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4938,39,267,1,failure,1,0
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,39,267,1,failure,0,1
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,39,267,1,failure,1,0
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4852,39,274,0,failure,0,1
admin.,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4852,39,274,0,failure,1,0
management,married,basic.9y,no,no,no,cellular,mar,wed,-2,4953,39,268,2,nonexistent,0,1
management,married,basic.9y,no,no,no,cellular,mar,wed,-2,4953,39,268,2,nonexistent,1,0
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,40,270,4,nonexistent,0,1
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,40,270,4,nonexistent,1,0
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,feb,fri,-1,4891,41,270,4,nonexistent,0,1
