job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,decision
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3830,33,985,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3830,33,985,0,failure,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3751,33,969,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,3751,33,969,0,failure,1,1
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3911,26,986,0,failure,0,0
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3911,26,986,0,failure,1,1
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3923,26,971,0,failure,0,0
admin.,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3923,26,971,0,failure,1,1
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3766,30,987,1,failure,0,0
services,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,3766,30,987,1,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,3782,30,974,1,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,3782,30,974,1,failure,1,1
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3833,26,970,0,failure,0,0
self-employed,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,3833,26,970,0,failure,1,1
self-employed,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,3794,28,986,0,failure,0,0
self-employed,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,3794,28,986,0,failure,1,1
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,3802,26,989,2,nonexistent,0,0
services,married,basic.9y,no,no,no,cellular,aug,wed,-2,3802,26,989,2,nonexistent,1,1
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,3802,28,989,2,nonexistent,0,0
services,married,basic.9y,no,no,no,cellular,feb,wed,-2,3802,28,989,2,nonexistent,1,1
student,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3810,26,992,3,nonexistent,0,0
student,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3810,26,992,3,nonexistent,1,1
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,3853,28,989,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,3853,28,989,2,nonexistent,1,1
housemaid,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3868,27,992,3,nonexistent,0,0
housemaid,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,3868,27,992,3,nonexistent,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,3845,26,971,1,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,3845,26,971,1,failure,1,1
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,3853,26,973,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,3853,26,973,2,nonexistent,1,1
housemaid,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,3797,27,993,4,nonexistent,0,0
housemaid,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,3797,27,993,4,nonexistent,1,1
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,3774,28,973,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,3774,28,973,2,nonexistent,1,1
