job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,decision
admin.,divorced,basic.4y,no,no,no,cellular,jul,fri,-3,4923,10,875,0,failure,0,1
admin.,divorced,basic.4y,no,no,no,cellular,jul,fri,-3,4923,10,875,0,failure,1,0
services,married,basic.9y,no,no,no,cellular,aug,tue,-2,4946,8,915,2,nonexistent,0,1
services,married,basic.9y,no,no,no,cellular,aug,tue,-2,4946,8,915,2,nonexistent,1,0
self-employed,divorced,basic.4y,no,no,no,cellular,jan,fri,-3,4845,8,875,0,failure,0,1
self-employed,divorced,basic.4y,no,no,no,cellular,jan,fri,-3,4845,8,875,0,failure,1,0
student,married,basic.9y,no,no,no,cellular,may,tue,-2,4906,8,887,2,nonexistent,0,1
student,married,basic.9y,no,no,no,cellular,may,tue,-2,4906,8,887,2,nonexistent,1,0
blue-collar,married,basic.9y,no,no,no,cellular,apr,(null),-2,4891,8,915,2,nonexistent,0,1
blue-collar,married,basic.9y,no,no,no,cellular,apr,(null),-2,4891,8,915,2,nonexistent,1,0
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,aug,wed,-1,4891,8,924,4,nonexistent,0,1
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,aug,wed,-1,4891,8,924,4,nonexistent,1,0
housemaid,divorced,basic.4y,no,no,no,cellular,jan,fri,-3,4923,9,875,0,failure,0,1
housemaid,divorced,basic.4y,no,no,no,cellular,jan,fri,-3,4923,9,875,0,failure,1,0
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,sep,(null),-1,4898,8,896,4,nonexistent,0,1
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,sep,(null),-1,4898,8,896,4,nonexistent,1,0
housemaid,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4875,9,881,1,failure,0,1
housemaid,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4875,9,881,1,failure,1,0
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,sep,wed,-1,4976,9,896,4,nonexistent,0,1
blue-collar,married,illiterate,unknown,unknown,unknown,telephone,sep,wed,-1,4976,9,896,4,nonexistent,1,0
management,married,illiterate,unknown,unknown,unknown,telephone,sep,wed,-1,4898,8,896,4,nonexistent,0,1
