age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
97,State-gov,10th,3,Married-AF-spouse,Transport-moving,Unmarried,Other,Female,27500,762,97,Haiti,1
97,State-gov,10th,3,Married-AF-spouse,Transport-moving,Unmarried,Other,Male,27500,762,97,Haiti,1
98,State-gov,Doctorate,3,Separated,Protective-serv,Unmarried,Black,Female,27500,980,98,Columbia,1
98,State-gov,Doctorate,3,Separated,Protective-serv,Unmarried,Black,Male,27500,980,98,Columbia,1
98,State-gov,Doctorate,7,Married-AF-spouse,Protective-serv,Unmarried,Black,Female,27500,980,98,Vietnam,1
98,State-gov,Doctorate,7,Married-AF-spouse,Protective-serv,Unmarried,Black,Male,27500,980,98,Vietnam,1
97,State-gov,10th,3,Married-AF-spouse,Transport-moving,Unmarried,Other,Female,27500,1851,97,Japan,1
97,State-gov,10th,3,Married-AF-spouse,Transport-moving,Unmarried,Other,Male,27500,1851,97,Japan,1
95,Local-gov,12th,5,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,27500,544,95,Outlying-US(Guam-USVI-etc),1
95,Local-gov,12th,5,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,27500,544,95,Outlying-US(Guam-USVI-etc),1
97,State-gov,10th,3,Married-AF-spouse,Transport-moving,Unmarried,Other,Female,27500,762,85,Jamaica,1
97,State-gov,10th,3,Married-AF-spouse,Transport-moving,Unmarried,Other,Male,27500,762,85,Jamaica,1
98,State-gov,Doctorate,7,Married-AF-spouse,Protective-serv,Unmarried,Black,Female,27500,980,86,Greece,1
98,State-gov,Doctorate,7,Married-AF-spouse,Protective-serv,Unmarried,Black,Male,27500,980,86,Greece,1
97,State-gov,10th,3,Never-married,Transport-moving,Unmarried,Other,Female,27500,762,97,Jamaica,1
97,State-gov,10th,3,Never-married,Transport-moving,Unmarried,Other,Male,27500,762,97,Jamaica,1
96,Local-gov,Masters,3,Never-married,Farming-fishing,Unmarried,Other,Female,27500,762,96,India,1
96,Local-gov,Masters,3,Never-married,Farming-fishing,Unmarried,Other,Male,27500,762,96,India,1
98,State-gov,Doctorate,3,Separated,Protective-serv,Unmarried,Black,Female,27500,980,86,Vietnam,1
98,State-gov,Doctorate,3,Separated,Protective-serv,Unmarried,Black,Male,27500,980,86,Vietnam,1
97,State-gov,10th,3,Never-married,Transport-moving,Unmarried,Other,Female,27500,762,85,Japan,1
97,State-gov,10th,3,Never-married,Transport-moving,Unmarried,Other,Male,27500,762,85,Japan,1
87,State-gov,Doctorate,3,Married-AF-spouse,Protective-serv,Unmarried,Black,Female,27500,980,98,Vietnam,1
87,State-gov,Doctorate,3,Married-AF-spouse,Protective-serv,Unmarried,Black,Male,27500,980,98,Vietnam,1
84,Federal-gov,7th-8th,2,Married-spouse-absent,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Female,27500,544,94,Germany,1
84,Federal-gov,7th-8th,2,Married-spouse-absent,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,27500,544,94,Germany,1
87,State-gov,Doctorate,3,Married-AF-spouse,Protective-serv,Unmarried,Black,Female,27500,980,86,Greece,1
87,State-gov,Doctorate,3,Married-AF-spouse,Protective-serv,Unmarried,Black,Male,27500,980,86,Greece,1
87,State-gov,Doctorate,3,Separated,Protective-serv,Unmarried,Black,Female,27500,980,98,Vietnam,1
87,State-gov,Doctorate,3,Separated,Protective-serv,Unmarried,Black,Male,27500,980,98,Vietnam,1
86,State-gov,10th,3,Never-married,Transport-moving,Unmarried,Other,Female,27500,762,97,Japan,1
86,State-gov,10th,3,Never-married,Transport-moving,Unmarried,Other,Male,27500,762,97,Japan,1
87,State-gov,Doctorate,3,Separated,Protective-serv,Unmarried,Black,Female,27500,980,86,Greece,1
87,State-gov,Doctorate,3,Separated,Protective-serv,Unmarried,Black,Male,27500,980,86,Greece,1
97,State-gov,10th,3,Married-AF-spouse,Transport-moving,Unmarried,Other,Female,27500,762,72,Japan,1
97,State-gov,10th,3,Married-AF-spouse,Transport-moving,Unmarried,Other,Male,27500,762,72,Japan,1
98,State-gov,Doctorate,3,Separated,Protective-serv,Unmarried,Black,Female,27500,980,73,Greece,1
