age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
59,State-gov,10th,3,Married-spouse-absent,Transport-moving,Unmarried,Other,Female,62500,762,60,Canada,0
59,State-gov,10th,3,Married-spouse-absent,Transport-moving,Unmarried,Other,Male,62500,762,60,Canada,1
64,State-gov,10th,3,Married-spouse-absent,Transport-moving,Unmarried,Other,Female,52500,762,60,Greece,0
64,State-gov,10th,3,Married-spouse-absent,Transport-moving,Unmarried,Other,Male,52500,762,60,Greece,1
65,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Unmarried,Black,Female,52500,1851,61,Canada,0
65,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Unmarried,Black,Male,52500,1851,61,Canada,1
98,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Husband,Black,Female,52500,2069,11,Laos,1
98,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Husband,Black,Male,52500,2069,11,Laos,0
98,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Husband,Black,Female,52500,980,11,Columbia,1
98,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Husband,Black,Male,52500,980,11,Columbia,0
86,State-gov,10th,3,Married-spouse-absent,Transport-moving,Husband,Other,Female,52500,762,22,Dominican-Republic,0
86,State-gov,10th,3,Married-spouse-absent,Transport-moving,Husband,Other,Male,52500,762,22,Dominican-Republic,1
87,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Own-child,Black,Female,52500,980,11,Laos,0
87,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Own-child,Black,Male,52500,980,11,Laos,1
76,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Other-relative,Black,Female,52500,980,11,Laos,1
76,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Other-relative,Black,Male,52500,980,11,Laos,0
94,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Unmarried,Black,Female,67500,980,23,South,1
94,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Unmarried,Black,Male,67500,980,23,South,0
94,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Unmarried,Black,Female,67500,980,23,Canada,0
94,State-gov,Doctorate,3,Married-spouse-absent,Protective-serv,Unmarried,Black,Male,67500,980,23,Canada,1
97,State-gov,10th,3,Married-spouse-absent,Transport-moving,Unmarried,Other,Female,67500,762,10,Greece,1
97,State-gov,10th,3,Married-spouse-absent,Transport-moving,Unmarried,Other,Male,67500,762,10,Greece,0
96,Local-gov,Masters,3,Widowed,Farming-fishing,Unmarried,Other,Female,72500,762,9,Puerto-Rico,1
