age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,decision
79,Local-gov,7th-8th,1,Married-civ-spouse,Tech-support,Wife,Other,Female,52500,2286,33,United-States,1
79,Local-gov,7th-8th,1,Married-civ-spouse,Tech-support,Wife,Other,Male,52500,2286,33,United-States,0
79,Local-gov,Bachelors,1,Married-civ-spouse,Tech-support,Wife,Other,Female,52500,2286,30,United-States,1
79,Local-gov,Bachelors,1,Married-civ-spouse,Tech-support,Wife,Other,Male,52500,2286,30,United-States,0
87,State-gov,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,Other,Female,57500,2722,27,Italy,1
87,State-gov,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,Other,Male,57500,2722,27,Italy,0
58,Local-gov,Some-college,1,Married-civ-spouse,Craft-repair,Wife,Other,Female,52500,2286,26,Canada,1
58,Local-gov,Some-college,1,Married-civ-spouse,Craft-repair,Wife,Other,Male,52500,2286,26,Canada,0
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Female,52500,2286,14,Canada,1
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Male,52500,2286,14,Canada,0
79,Private,7th-8th,9,Married-civ-spouse,Tech-support,Wife,Other,Female,52500,2286,14,United-States,1
79,Private,7th-8th,9,Married-civ-spouse,Tech-support,Wife,Other,Male,52500,2286,14,United-States,0
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Female,77500,3375,1,Canada,1
81,Local-gov,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Male,77500,3375,1,Canada,0
81,Self-emp-not-inc,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Female,77500,2286,1,Canada,1
81,Self-emp-not-inc,Some-college,9,Married-civ-spouse,Craft-repair,Wife,Other,Male,77500,2286,1,Canada,0
