status,month,credit_history,purpose,credit_amount,savings,employment,investment_as_income_percentage,other_debtors,residence_since,property,age,installment_plans,housing,number_of_credits,skill_level,people_liable_for,telephone,foreign_worker,sex,decision
A11,0,A32,A48,10666,A61,A71,1,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,0,A32,A48,10666,A61,A71,1,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,11,A32,A48,10626,A61,A71,1,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,11,A32,A48,10626,A61,A71,1,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,0,A32,A48,10626,A61,A71,1,A103,3,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,0,A32,A48,10626,A61,A71,1,A103,3,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,0,A32,A48,10626,A61,A71,3,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,0,A32,A48,10626,A61,A71,3,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,0,A32,A48,10626,A61,A71,1,A103,1,A121,0,A141,A151,3,A173,1,A191,A201,A91,0
A11,0,A32,A48,10626,A61,A71,1,A103,1,A121,1,A141,A151,3,A173,1,A191,A201,A91,1
A11,0,A32,A48,10626,A61,A71,1,A101,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,0,A32,A48,10626,A61,A71,1,A101,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,0,A32,A48,10626,A61,A71,1,A103,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,0
A11,0,A32,A48,10626,A61,A71,1,A103,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,1
A11,41,A32,A48,10509,A61,A71,1,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,41,A32,A48,10509,A61,A71,1,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,41,A32,A48,10470,A61,A71,1,A103,3,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,41,A32,A48,10470,A61,A71,1,A103,3,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,51,A32,A48,10470,A61,A71,1,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,51,A32,A48,10470,A61,A71,1,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,41,A32,A48,10470,A61,A71,3,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,41,A32,A48,10470,A61,A71,3,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,41,A32,A48,10470,A61,A71,1,A103,1,A121,0,A141,A151,3,A173,1,A191,A201,A91,0
A11,41,A32,A48,10470,A61,A71,1,A103,1,A121,1,A141,A151,3,A173,1,A191,A201,A91,1
A11,41,A32,A48,10470,A61,A71,1,A101,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,41,A32,A48,10470,A61,A71,1,A101,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,41,A32,A48,10470,A61,A71,1,A103,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,0
A11,41,A32,A48,10470,A61,A71,1,A103,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,1
A11,21,A32,A48,10587,A61,A71,1,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,21,A32,A48,10587,A61,A71,1,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,31,A32,A48,10548,A61,A71,1,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,31,A32,A48,10548,A61,A71,1,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,21,A32,A48,10548,A61,A71,3,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,21,A32,A48,10548,A61,A71,3,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,21,A32,A48,10548,A61,A71,1,A103,1,A121,0,A141,A151,3,A173,1,A191,A201,A91,0
A11,21,A32,A48,10548,A61,A71,1,A103,1,A121,1,A141,A151,3,A173,1,A191,A201,A91,1
A11,21,A32,A48,10548,A61,A71,1,A101,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,21,A32,A48,10548,A61,A71,1,A101,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,21,A32,A48,10548,A61,A71,1,A103,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,0
A11,21,A32,A48,10548,A61,A71,1,A103,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,1
A11,11,A32,A48,10587,A61,A71,3,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,11,A32,A48,10587,A61,A71,3,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,11,A32,A48,10587,A61,A71,1,A103,1,A121,0,A141,A151,3,A173,1,A191,A201,A91,0
A11,11,A32,A48,10587,A61,A71,1,A103,1,A121,1,A141,A151,3,A173,1,A191,A201,A91,1
A11,11,A32,A48,10587,A61,A71,1,A101,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,11,A32,A48,10587,A61,A71,1,A101,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,11,A32,A48,10587,A61,A71,1,A103,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,0
A11,11,A32,A48,10587,A61,A71,1,A103,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,1
A11,11,A32,A48,10548,A61,A71,1,A103,3,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,11,A32,A48,10548,A61,A71,1,A103,3,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,11,A32,A48,10548,A61,A71,1,A103,3,A121,0,A141,A151,1,A171,1,A191,A201,A91,0
A11,11,A32,A48,10548,A61,A71,1,A103,3,A121,1,A141,A151,1,A171,1,A191,A201,A91,1
A11,11,A32,A48,10548,A61,A71,3,A103,1,A121,0,A141,A151,3,A173,1,A191,A201,A91,0
A11,11,A32,A48,10548,A61,A71,3,A103,1,A121,1,A141,A151,3,A173,1,A191,A201,A91,1
A11,11,A32,A48,10548,A61,A71,3,A103,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
A11,11,A32,A48,10548,A61,A71,3,A103,1,A121,1,A141,A151,3,A171,1,A191,A201,A91,1
A11,11,A32,A48,10548,A61,A71,3,A103,1,A121,0,A141,A151,1,A171,1,A191,A201,A91,0
A11,11,A32,A48,10548,A61,A71,3,A103,1,A121,1,A141,A151,1,A171,1,A191,A201,A91,1
A11,11,A32,A48,10548,A61,A71,1,A101,1,A121,0,A141,A151,3,A173,1,A191,A201,A91,0
A11,11,A32,A48,10548,A61,A71,1,A101,1,A121,1,A141,A151,3,A173,1,A191,A201,A91,1
A11,11,A32,A48,10548,A61,A71,1,A103,1,A121,0,A141,A151,1,A173,1,A191,A201,A91,0
A11,11,A32,A48,10548,A61,A71,1,A103,1,A121,1,A141,A151,1,A173,1,A191,A201,A91,1
A11,11,A32,A48,10548,A61,A71,1,A101,1,A121,0,A141,A151,3,A171,1,A191,A201,A91,0
