job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,decision
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,14,274,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,14,274,0,failure,1,1
housemaid,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4898,9,262,4,nonexistent,0,0
housemaid,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4898,9,262,4,nonexistent,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4533,8,258,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jul,mon,-3,4533,8,258,0,failure,1,1
management,single,professional.course,unknown,unknown,unknown,telephone,mar,(null),0,4594,9,255,5,success,0,0
management,single,professional.course,unknown,unknown,unknown,telephone,mar,(null),0,4594,9,255,5,success,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,39,188,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,39,188,0,failure,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,33,227,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,33,227,0,failure,1,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,33,220,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,33,220,1,failure,1,1
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4868,30,223,2,nonexistent,0,0
housemaid,married,basic.9y,no,no,no,cellular,feb,wed,-2,4868,30,223,2,nonexistent,1,1
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4696,26,219,0,failure,0,0
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4696,26,219,0,failure,1,1
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4712,28,221,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,feb,wed,-2,4712,28,221,2,nonexistent,1,1
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4852,33,204,0,failure,0,0
admin.,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4852,33,204,0,failure,1,1
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,36,204,0,failure,0,0
self-employed,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4923,36,204,0,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,36,205,1,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,36,205,1,failure,1,1
management,married,basic.9y,no,no,no,cellular,mar,wed,-2,4906,33,209,2,nonexistent,0,0
management,married,basic.9y,no,no,no,cellular,mar,wed,-2,4906,33,209,2,nonexistent,1,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4938,36,189,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4938,36,189,1,failure,1,1
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4961,34,195,3,nonexistent,0,0
retired,married,high.school,unknown,unknown,unknown,telephone,oct,thu,-1,4961,34,195,3,nonexistent,1,1
self-employed,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4852,33,196,0,failure,0,0
self-employed,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4852,33,196,0,failure,1,1
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4868,33,198,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4868,33,198,2,nonexistent,1,1
entrepreneur,married,basic.9y,no,no,no,cellular,nov,wed,-2,4875,33,190,2,nonexistent,0,0
