job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,decision
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,26,345,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4938,26,345,1,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,28,337,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4930,28,337,0,failure,1,1
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4946,26,338,2,nonexistent,0,0
blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,-2,4946,26,338,2,nonexistent,1,1
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,26,340,4,nonexistent,0,0
housemaid,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4969,26,340,4,nonexistent,1,1
management,married,basic.9y,no,no,no,cellular,may,wed,-2,4906,27,331,2,nonexistent,0,0
management,married,basic.9y,no,no,no,cellular,may,wed,-2,4906,27,331,2,nonexistent,1,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4782,26,330,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4782,26,330,1,failure,1,1
retired,married,high.school,unknown,unknown,unknown,telephone,jul,thu,-1,4922,27,324,3,nonexistent,0,0
retired,married,high.school,unknown,unknown,unknown,telephone,jul,thu,-1,4922,27,324,3,nonexistent,1,1
self-employed,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4937,27,317,4,nonexistent,0,0
self-employed,married,illiterate,unknown,unknown,unknown,telephone,aug,fri,-1,4937,27,317,4,nonexistent,1,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4719,26,322,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,mar,tue,-3,4719,26,322,1,failure,1,1
housemaid,married,basic.9y,no,no,no,cellular,apr,wed,-2,4735,26,315,2,nonexistent,0,0
housemaid,married,basic.9y,no,no,no,cellular,apr,wed,-2,4735,26,315,2,nonexistent,1,1
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4533,26,313,0,failure,0,0
admin.,divorced,basic.4y,no,no,no,cellular,jan,mon,-3,4533,26,313,0,failure,1,1
