job,marital,education,default,housing,loan,contact,month,day_of_week,emp.var.rate,duration,campaign,pdays,previous,poutcome,age,decision
student,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4918,46,997,5,success,0,0
student,single,professional.course,unknown,unknown,unknown,telephone,nov,(null),0,4918,46,997,5,success,1,1
student,single,professional.course,unknown,unknown,unknown,telephone,oct,(null),0,4914,49,980,5,success,0,0
student,single,professional.course,unknown,unknown,unknown,telephone,oct,(null),0,4914,49,980,5,success,1,1
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4848,48,978,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,aug,tue,-3,4848,48,978,1,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4809,48,970,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4809,48,970,0,failure,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4768,45,977,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jul,tue,-3,4768,45,977,0,failure,1,1
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4793,46,979,4,nonexistent,0,0
services,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4793,46,979,4,nonexistent,1,1
student,single,professional.course,unknown,unknown,unknown,telephone,oct,(null),0,4836,43,996,5,success,0,0
student,single,professional.course,unknown,unknown,unknown,telephone,oct,(null),0,4836,43,996,5,success,1,1
management,married,basic.9y,no,no,no,cellular,sep,wed,-2,4782,42,990,2,nonexistent,0,0
management,married,basic.9y,no,no,no,cellular,sep,wed,-2,4782,42,990,2,nonexistent,1,1
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4778,43,996,4,nonexistent,0,0
self-employed,married,illiterate,unknown,unknown,unknown,telephone,apr,fri,-1,4778,43,996,4,nonexistent,1,1
technician,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4706,49,998,6,success,0,1
technician,single,professional.course,unknown,unknown,unknown,telephone,may,(null),0,4706,49,998,6,success,1,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4735,45,978,1,failure,0,0
entrepreneur,divorced,basic.6y,no,no,no,cellular,feb,tue,-3,4735,45,978,1,failure,1,1
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4747,46,972,3,nonexistent,0,0
retired,married,high.school,unknown,unknown,unknown,telephone,apr,thu,-1,4747,46,972,3,nonexistent,1,1
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4692,45,969,0,failure,0,0
blue-collar,divorced,basic.6y,no,no,no,cellular,jan,tue,-3,4692,45,969,0,failure,1,1
self-employed,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4758,40,996,4,nonexistent,0,0
self-employed,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4758,40,996,4,nonexistent,1,1
retired,married,high.school,unknown,unknown,unknown,telephone,jul,thu,-1,4708,40,992,3,nonexistent,0,0
retired,married,high.school,unknown,unknown,unknown,telephone,jul,thu,-1,4708,40,992,3,nonexistent,1,1
management,married,basic.9y,no,no,no,cellular,sep,wed,-2,4743,42,979,2,nonexistent,0,0
management,married,basic.9y,no,no,no,cellular,sep,wed,-2,4743,42,979,2,nonexistent,1,1
services,married,illiterate,unknown,unknown,unknown,telephone,oct,fri,-1,4754,43,973,4,nonexistent,0,0
